INDEX;0;1;2;3;4;5;6;7;8;9;PREDICTEDCLASS;TRUECLASS
0;-22.150;-13.268;39.602;48.803;-48.401;-49.751;-114.761;150.674;-16.574;37.549;7;7
1;103.684;87.989;124.882;-0.6459;-31.018;-93.604;68.170;-109.987;-23.791;-113.587;2;2
2;-0.9079;80.683;-0.2061;-17.270;0.1834;-40.697;-0.0878;17.822;-0.7798;-25.017;1;1
3;185.391;-153.605;26.279;-0.3260;-52.641;10.697;55.862;-74.579;-27.303;46.264;0;0
4;-30.104;0.3736;-33.335;0.3878;115.538;-46.328;-26.339;14.167;-41.061;59.484;4;4
5;-27.043;124.391;-12.213;-23.613;32.752;-92.882;-23.119;42.263;-0.4035;-18.066;1;1
6;-78.642;29.330;-32.177;-56.768;102.861;-19.903;-43.399;35.058;24.437;35.348;4;4
7;-62.017;0.9985;-0.4287;24.502;30.781;-25.012;-74.056;0.0270;41.628;75.244;9;9
8;-56.654;-110.733;-54.685;-0.5919;43.849;156.536;92.960;-62.926;-0.3634;-0.2064;5;5
9;-39.659;-44.991;-61.650;-0.6663;65.404;-91.337;-73.892;70.939;52.884;143.787;9;9
10;155.226;-138.160;57.544;-0.4984;-81.613;-17.824;22.596;-40.729;19.999;45.975;0;0
11;40.590;-67.489;-25.947;-24.699;-36.095;53.252;107.408;-59.506;39.071;-28.161;6;6
12;-33.047;-67.762;-70.909;0.7132;95.825;-42.684;-71.322;54.922;12.590;126.899;9;9
13;159.427;-152.434;-0.1008;-64.465;-16.394;-45.865;25.057;17.933;25.554;67.020;0;0
14;-84.934;165.647;-49.708;22.895;19.688;-54.065;-35.072;-0.2802;42.963;-19.833;1;1
15;-20.312;-46.959;30.568;32.167;-68.866;89.419;38.282;-49.249;53.166;-60.854;5;5
16;-20.602;-52.901;-47.558;0.7819;74.080;-36.622;-79.817;60.715;-15.801;123.933;9;9
17;15.775;-75.315;41.377;75.481;-85.143;-44.292;-127.392;198.533;-39.163;57.363;7;7
18;-10.077;-32.323;61.013;82.289;-0.6272;-10.338;13.312;-33.473;-15.194;-25.552;3;3
19;-37.097;13.466;-27.959;-15.428;95.986;-24.208;-28.238;22.216;-23.398;22.388;4;4
20;0.1782;-17.760;-80.632;-15.085;62.675;-53.300;-97.565;72.383;-16.076;142.579;9;9
21;-0.0583;-76.895;-52.308;-0.3026;-0.2767;82.848;121.769;-63.759;28.962;-34.253;6;6
22;15.320;-50.842;-49.508;-12.549;22.091;47.239;93.207;-54.320;0.5782;-20.791;6;6
23;-0.0618;-75.604;-51.942;33.892;-0.7699;103.118;38.494;-54.315;0.6786;0.7916;5;5
24;-0.6657;0.3042;0.4073;-28.850;49.001;-20.383;-10.947;16.472;-19.898;0.9876;4;4
25;197.424;-199.506;60.644;-57.022;-31.428;-41.778;65.508;-44.915;14.412;56.063;0;0
26;0.7908;-0.1761;0.0576;21.037;-0.9402;-44.910;-68.820;100.227;-48.307;54.810;7;7
27;-48.601;-32.949;-34.190;15.585;167.599;-34.599;-41.478;-0.9432;-29.044;59.943;4;4
28;197.914;-76.854;71.891;0.5380;-95.342;-86.988;-30.306;-0.4447;-0.0851;34.526;0;0
29;-50.914;138.168;-43.235;-28.567;28.883;-16.610;-24.803;-0.3786;14.805;-22.652;1;1
30;-34.375;-46.828;-22.987;206.761;-59.598;46.078;-87.372;-15.651;19.904;41.988;3;3
31;-61.424;103.996;-58.329;-0.0638;22.479;-21.954;-29.667;13.760;26.919;0.8822;1;1
32;-49.711;-31.456;15.580;179.981;-47.590;59.208;-47.514;-46.661;0.8898;-0.0275;3;3
33;51.793;-42.509;43.991;-48.778;93.731;-21.842;38.023;-65.297;-49.238;-0.0241;4;4
34;-38.553;23.601;80.436;41.646;-68.456;-98.717;-150.555;150.645;43.502;28.010;7;7
35;12.856;37.319;155.526;11.026;-43.522;-52.576;-46.815;-53.714;0.6874;-20.843;2;2
36;-0.5820;0.5745;57.131;0.6377;-0.5637;-69.042;-70.324;120.627;-33.470;-0.5336;7;7
37;-75.663;134.841;-56.646;-20.019;29.419;-32.174;-35.885;20.379;35.958;-0.9148;1;1
38;39.137;14.402;98.506;22.467;-74.733;-34.570;-12.834;-23.035;27.110;-49.402;2;2
39;-21.476;132.725;-22.193;12.239;14.839;-86.372;-0.7438;0.5155;22.704;-34.977;1;1
40;-0.4871;68.977;-0.1210;-14.003;0.3114;-33.119;-10.584;16.183;-11.454;-11.506;1;1
41;-0.9855;0.8756;71.269;17.362;-23.144;-47.582;-72.412;87.426;-26.920;0.0607;7;7
42;-61.720;65.204;-116.895;-30.448;155.129;-62.887;-30.917;21.821;-13.196;73.508;4;4
43;-0.5497;41.017;88.116;-31.192;-0.2026;-21.855;0.1340;-0.3354;-10.240;-71.388;2;2
